Gas,Source,T_K,T_C,P_bar,m_low,m_high,m_avg,dm,x_low,x_high,ks_data
CH4,Blount 1982,373.540000,100.390000,1553.000000,0.055100,2.037900,1.046500,1.982800,0.006359,0.005020,0.051788
CH4,Blount 1982,373.400000,100.250000,1530.000000,0.055100,3.402900,1.729000,3.347800,0.006359,0.004185,0.054272
CH4,Blount 1982,373.400000,100.250000,1551.500000,0.055100,5.014900,2.535000,4.959800,0.006359,0.003014,0.065375
CH4,Blount 1982,373.930000,100.780000,1543.000000,0.055100,7.050500,3.552800,6.995400,0.006359,0.002278,0.063733
CH4,Blount 1982,373.650000,100.500000,1324.500000,0.055100,0.922500,0.488800,0.867400,0.006280,0.005231,0.091509
CH4,Blount 1982,373.790000,100.640000,1311.500000,0.055100,2.037900,1.046500,1.982800,0.006280,0.004686,0.064130
CH4,Blount 1982,373.290000,100.140000,1313.000000,0.055100,3.402900,1.729000,3.347800,0.006280,0.003828,0.064218
CH4,Blount 1982,373.790000,100.640000,1310.000000,0.055100,7.050500,3.552800,6.995400,0.006280,0.002516,0.056787
CH4,Blount 1982,373.260000,100.110000,1106.000000,0.055100,0.922500,0.488800,0.867400,0.005537,0.004600,0.092825
CH4,Blount 1982,373.760000,100.610000,1111.500000,0.055100,2.027200,1.041150,1.972100,0.005537,0.004189,0.061439
CH4,Blount 1982,373.370000,100.220000,1083.000000,0.055100,2.037900,1.046500,1.982800,0.005537,0.004279,0.056452
CH4,Blount 1982,372.870000,99.720000,1110.500000,0.055100,3.402900,1.729000,3.347800,0.005537,0.003610,0.055489
CH4,Blount 1982,373.120000,99.970000,1082.500000,0.055100,5.014900,2.535000,4.959800,0.005537,0.002980,0.054248
CH4,Blount 1982,373.510000,100.360000,1105.000000,0.055100,7.050500,3.552800,6.995400,0.005537,0.001911,0.066045
CH4,Blount 1982,373.260000,100.110000,908.000000,0.055100,0.922500,0.488800,0.867400,0.005133,0.004449,0.071603
CH4,Blount 1982,373.760000,100.610000,911.500000,0.055100,2.027200,1.041150,1.972100,0.005133,0.003709,0.071555
CH4,Blount 1982,373.510000,100.360000,912.500000,0.055100,2.037900,1.046500,1.982800,0.005133,0.003770,0.067596
CH4,Blount 1982,373.120000,99.970000,915.000000,0.055100,3.402900,1.729000,3.347800,0.005133,0.003174,0.062359
CH4,Blount 1982,373.120000,99.970000,911.000000,0.055100,3.334800,1.694950,3.279700,0.005133,0.003520,0.049952
CH4,Blount 1982,372.870000,99.720000,914.000000,0.055100,5.014900,2.535000,4.959800,0.005133,0.002476,0.063837
CH4,Blount 1982,373.510000,100.360000,906.500000,0.055100,7.050500,3.552800,6.995400,0.005133,0.002040,0.057286
CH4,Blount 1982,373.870000,100.720000,910.000000,0.055100,7.087700,3.571400,7.032600,0.005133,0.001969,0.059171
CH4,Blount 1982,373.120000,99.970000,696.000000,0.055100,0.922500,0.488800,0.867400,0.004440,0.003928,0.061346
CH4,Blount 1982,373.260000,100.110000,696.000000,0.055100,2.037900,1.046500,1.982800,0.004440,0.003522,0.050733
CH4,Blount 1982,372.870000,99.720000,689.500000,0.055100,3.361500,1.708300,3.306400,0.004440,0.002747,0.063067
CH4,Blount 1982,373.260000,100.110000,684.000000,0.055100,3.334800,1.694950,3.279700,0.004440,0.003194,0.043616
CH4,Blount 1982,372.760000,99.610000,681.000000,0.055100,5.014900,2.535000,4.959800,0.004440,0.002191,0.061845
CH4,Blount 1982,373.760000,100.610000,698.000000,0.055100,7.087700,3.571400,7.032600,0.004440,0.002061,0.047394
CH4,Blount 1982,373.290000,100.140000,492.500000,0.055100,0.922500,0.488800,0.867400,0.003995,0.003296,0.096299
CH4,Blount 1982,373.790000,100.640000,490.500000,0.055100,2.037900,1.046500,1.982800,0.003995,0.003012,0.061863
CH4,Blount 1982,373.235000,100.085000,492.000000,0.055100,3.361500,1.708300,3.306400,0.003995,0.002405,0.066659
CH4,Blount 1982,372.930000,99.780000,488.500000,0.055100,3.334800,1.694950,3.279700,0.003995,0.002697,0.052028
CH4,Blount 1982,373.040000,99.890000,494.500000,0.055100,4.944300,2.499700,4.889200,0.003995,0.001915,0.065317
CH4,Blount 1982,373.930000,100.780000,491.500000,0.055100,7.087700,3.571400,7.032600,0.003995,0.001602,0.056431
CH4,Blount 1982,373.540000,100.390000,349.500000,0.055100,0.922500,0.488800,0.867400,0.003104,0.002842,0.044152
CH4,Blount 1982,373.650000,100.500000,354.000000,0.055100,1.984700,1.019900,1.929600,0.003104,0.002655,0.035166
CH4,Blount 1982,373.650000,100.500000,352.500000,0.055100,2.005900,1.030500,1.950800,0.003104,0.002308,0.065966
CH4,Blount 1982,373.400000,100.250000,349.000000,0.055100,3.334800,1.694950,3.279700,0.003104,0.002262,0.041903
CH4,Blount 1982,373.150000,100.000000,350.000000,0.055100,4.944300,2.499700,4.889200,0.003104,0.002016,0.038336
CH4,Blount 1982,374.040000,100.890000,354.500000,0.055100,7.087700,3.571400,7.032600,0.003104,0.001418,0.048381
CH4,Blount 1982,373.400000,100.250000,249.500000,0.055100,0.922500,0.488800,0.867400,0.002488,0.002347,0.029211
CH4,Blount 1982,373.650000,100.500000,252.000000,0.055100,2.005900,1.030500,1.950800,0.002488,0.002002,0.048383
CH4,Blount 1982,373.010000,99.860000,249.500000,0.055100,4.905000,2.480050,4.849900,0.002488,0.001359,0.054152
CH4,Blount 1982,374.010000,100.860000,250.500000,0.055100,7.087700,3.571400,7.032600,0.002488,0.001087,0.051136
CH4,Blount 1982,373.400000,100.250000,145.000000,0.055100,2.005900,1.030500,1.950800,0.002185,0.001418,0.096255
CH4,Blount 1982,372.900000,99.750000,147.000000,0.055100,4.905000,2.480050,4.849900,0.002185,0.001091,0.062192
CH4,Blount 1982,373.790000,100.640000,144.500000,0.055100,7.087700,3.571400,7.032600,0.002185,0.000940,0.052089
CH4,Blount 1982,372.900000,99.750000,149.500000,0.055100,4.905000,2.480050,4.849900,0.001870,0.001091,0.048252
CH4,Blount 1982,373.510000,100.360000,1326.000000,0.922500,2.037900,1.480200,1.115400,0.005231,0.004686,0.042839
CH4,Blount 1982,373.010000,99.860000,1327.500000,0.922500,3.402900,2.162700,2.480400,0.005231,0.003828,0.054674
CH4,Blount 1982,373.510000,100.360000,1324.500000,0.922500,7.050500,3.986500,6.128000,0.005231,0.002516,0.051872
CH4,Blount 1982,373.400000,100.250000,1326.000000,0.922500,2.037900,1.480200,1.115400,0.004943,0.004686,0.020789
CH4,Blount 1982,372.900000,99.750000,1327.500000,0.922500,3.402900,2.162700,2.480400,0.004943,0.003828,0.044758
CH4,Blount 1982,373.400000,100.250000,1324.500000,0.922500,7.050500,3.986500,6.128000,0.004943,0.002516,0.047859
CH4,Blount 1982,373.650000,100.500000,1110.500000,0.922500,2.027200,1.474850,1.104700,0.004600,0.004189,0.036795
CH4,Blount 1982,373.260000,100.110000,1082.000000,0.922500,2.037900,1.480200,1.115400,0.004600,0.004279,0.028165
CH4,Blount 1982,372.760000,99.610000,1109.500000,0.922500,3.402900,2.162700,2.480400,0.004600,0.003610,0.042433
CH4,Blount 1982,373.010000,99.860000,1081.500000,0.922500,5.014900,2.968700,4.092400,0.004600,0.002980,0.046071
CH4,Blount 1982,373.400000,100.250000,1104.000000,0.922500,7.050500,3.986500,6.128000,0.004600,0.001911,0.062255
CH4,Blount 1982,373.650000,100.500000,907.500000,0.922500,2.027200,1.474850,1.104700,0.004449,0.003709,0.071518
CH4,Blount 1982,373.400000,100.250000,908.500000,0.922500,2.037900,1.480200,1.115400,0.004449,0.003770,0.064480
CH4,Blount 1982,373.010000,99.860000,911.000000,0.922500,3.402900,2.162700,2.480400,0.004449,0.003174,0.059126
CH4,Blount 1982,373.010000,99.860000,907.000000,0.922500,3.334800,2.128650,2.412300,0.004449,0.003520,0.042167
CH4,Blount 1982,372.760000,99.610000,910.000000,0.922500,5.014900,2.968700,4.092400,0.004449,0.002476,0.062191
CH4,Blount 1982,373.400000,100.250000,902.500000,0.922500,7.050500,3.986500,6.128000,0.004449,0.002040,0.055260
CH4,Blount 1982,373.760000,100.610000,906.000000,0.922500,7.087700,4.005100,6.165200,0.004449,0.001969,0.057422
CH4,Blount 1982,373.010000,99.860000,702.000000,0.922500,2.037900,1.480200,1.115400,0.003928,0.003522,0.042480
CH4,Blount 1982,372.620000,99.470000,695.500000,0.922500,3.361500,2.142000,2.439000,0.003928,0.002747,0.063679
CH4,Blount 1982,373.010000,99.860000,690.000000,0.922500,3.334800,2.128650,2.412300,0.003928,0.003194,0.037241
CH4,Blount 1982,372.510000,99.360000,687.000000,0.922500,5.014900,2.968700,4.092400,0.003928,0.002191,0.061951
CH4,Blount 1982,373.510000,100.360000,704.000000,0.922500,7.087700,4.005100,6.165200,0.003928,0.002061,0.045431
CH4,Blount 1982,373.150000,100.000000,496.000000,0.922500,2.037900,1.480200,1.115400,0.003296,0.003012,0.035084
CH4,Blount 1982,372.595000,99.445000,497.500000,0.922500,3.361500,2.142000,2.439000,0.003296,0.002405,0.056118
CH4,Blount 1982,372.290000,99.140000,494.000000,0.922500,3.334800,2.128650,2.412300,0.003296,0.002697,0.036109
CH4,Blount 1982,372.400000,99.250000,500.000000,0.922500,4.944300,2.933400,4.021800,0.003296,0.001915,0.058635
CH4,Blount 1982,373.290000,100.140000,497.000000,0.922500,7.087700,4.005100,6.165200,0.003296,0.001602,0.050821
CH4,Blount 1982,373.260000,100.110000,351.500000,0.922500,1.984700,1.453600,1.062200,0.002842,0.002655,0.027829
CH4,Blount 1982,373.260000,100.110000,350.000000,0.922500,2.005900,1.464200,1.083400,0.002842,0.002308,0.083430
CH4,Blount 1982,373.010000,99.860000,346.500000,0.922500,3.334800,2.128650,2.412300,0.002842,0.002262,0.041094
CH4,Blount 1982,372.760000,99.610000,347.500000,0.922500,4.944300,2.933400,4.021800,0.002842,0.002016,0.037081
CH4,Blount 1982,373.650000,100.500000,352.000000,0.922500,7.087700,4.005100,6.165200,0.002842,0.001418,0.048976
CH4,Blount 1982,373.400000,100.250000,250.500000,0.922500,2.005900,1.464200,1.083400,0.002347,0.002002,0.063734
CH4,Blount 1982,372.760000,99.610000,248.000000,0.922500,4.905000,2.913750,3.982500,0.002347,0.001359,0.059584
CH4,Blount 1982,373.760000,100.610000,249.000000,0.922500,7.087700,4.005100,6.165200,0.002347,0.001087,0.054221
CH4,Blount 1982,373.260000,100.110000,1115.000000,2.027200,3.402900,2.715050,1.375700,0.004189,0.003610,0.046960
CH4,Blount 1982,373.260000,100.110000,1093.000000,2.027200,5.014900,3.521050,2.987700,0.004189,0.003098,0.043856
CH4,Blount 1982,373.900000,100.750000,1109.500000,2.027200,7.050500,4.538850,5.023300,0.004189,0.001911,0.067854
CH4,Blount 1982,373.510000,100.360000,914.500000,2.027200,3.402900,2.715050,1.375700,0.003709,0.003174,0.049175
CH4,Blount 1982,373.510000,100.360000,910.500000,2.027200,3.334800,2.681000,1.307600,0.003709,0.003520,0.017371
CH4,Blount 1982,373.260000,100.110000,913.500000,2.027200,5.014900,3.521050,2.987700,0.003709,0.002476,0.058743
CH4,Blount 1982,373.900000,100.750000,906.000000,2.027200,7.050500,4.538850,5.023300,0.003709,0.002040,0.051684
CH4,Blount 1982,374.260000,101.110000,909.500000,2.027200,7.087700,4.557450,5.060500,0.003709,0.001969,0.054345
CH4,Blount 1982,373.010000,99.860000,1529.000000,2.037900,3.402900,2.720400,1.365000,0.005020,0.004185,0.057882
CH4,Blount 1982,373.010000,99.860000,1550.500000,2.037900,5.014900,3.526400,2.977000,0.005020,0.003014,0.074424
CH4,Blount 1982,373.540000,100.390000,1542.000000,2.037900,7.050500,4.544200,5.012600,0.005020,0.002278,0.068457
CH4,Blount 1982,373.010000,99.860000,1525.000000,2.037900,3.402900,2.720400,1.365000,0.005049,0.004185,0.059714
CH4,Blount 1982,373.010000,99.860000,1546.500000,2.037900,5.014900,3.526400,2.977000,0.005049,0.003014,0.075264
CH4,Blount 1982,373.540000,100.390000,1538.000000,2.037900,7.050500,4.544200,5.012600,0.005049,0.002278,0.068957
CH4,Blount 1982,373.150000,100.000000,1314.500000,2.037900,3.402900,2.720400,1.365000,0.004686,0.003828,0.064345
CH4,Blount 1982,373.650000,100.500000,1311.500000,2.037900,7.050500,4.544200,5.012600,0.004686,0.002516,0.053883
CH4,Blount 1982,373.120000,99.970000,1058.500000,2.037900,5.014900,3.526400,2.977000,0.004279,0.002980,0.052780
CH4,Blount 1982,373.510000,100.360000,1081.000000,2.037900,7.050500,4.544200,5.012600,0.004279,0.001911,0.069840
CH4,Blount 1982,373.260000,100.110000,1055.500000,2.037900,5.014900,3.526400,2.977000,0.004177,0.002980,0.049260
CH4,Blount 1982,373.650000,100.500000,1078.000000,2.037900,7.050500,4.544200,5.012600,0.004177,0.001911,0.067750
CH4,Blount 1982,373.260000,100.110000,915.500000,2.037900,3.402900,2.720400,1.365000,0.003770,0.003174,0.054750
CH4,Blount 1982,373.260000,100.110000,911.500000,2.037900,3.334800,2.686350,1.296900,0.003770,0.003520,0.022977
CH4,Blount 1982,373.010000,99.860000,914.500000,2.037900,5.014900,3.526400,2.977000,0.003770,0.002476,0.061334
CH4,Blount 1982,373.650000,100.500000,907.000000,2.037900,7.050500,4.544200,5.012600,0.003770,0.002040,0.053208
CH4,Blount 1982,374.010000,100.860000,910.500000,2.037900,7.087700,4.562800,5.049800,0.003770,0.001969,0.055863
CH4,Blount 1982,373.260000,100.110000,904.000000,2.037900,3.402900,2.720400,1.365000,0.003842,0.003174,0.060770
CH4,Blount 1982,373.260000,100.110000,900.000000,2.037900,3.334800,2.686350,1.296900,0.003842,0.003520,0.029312
CH4,Blount 1982,373.010000,99.860000,903.000000,2.037900,5.014900,3.526400,2.977000,0.003842,0.002476,0.064094
CH4,Blount 1982,373.650000,100.500000,895.500000,2.037900,7.050500,4.544200,5.012600,0.003842,0.002040,0.054847
CH4,Blount 1982,374.010000,100.860000,899.000000,2.037900,7.087700,4.562800,5.049800,0.003842,0.001969,0.057490
CH4,Blount 1982,372.760000,99.610000,695.500000,2.037900,3.361500,2.699700,1.323600,0.003522,0.002747,0.081543
CH4,Blount 1982,373.150000,100.000000,690.000000,2.037900,3.334800,2.686350,1.296900,0.003522,0.003194,0.032735
CH4,Blount 1982,372.650000,99.500000,687.000000,2.037900,5.014900,3.526400,2.977000,0.003522,0.002191,0.069247
CH4,Blount 1982,373.650000,100.500000,704.000000,2.037900,7.087700,4.562800,5.049800,0.003522,0.002061,0.046083
CH4,Blount 1982,372.760000,99.610000,692.500000,2.037900,3.361500,2.699700,1.323600,0.003187,0.002747,0.048748
CH4,Blount 1982,373.150000,100.000000,687.000000,2.037900,3.334800,2.686350,1.296900,0.003187,0.003194,-0.000735
CH4,Blount 1982,372.650000,99.500000,684.000000,2.037900,5.014900,3.526400,2.977000,0.003187,0.002191,0.054666
CH4,Blount 1982,373.650000,100.500000,701.000000,2.037900,7.087700,4.562800,5.049800,0.003187,0.002061,0.037487
CH4,Blount 1982,373.095000,99.945000,495.500000,2.037900,3.361500,2.699700,1.323600,0.003012,0.002405,0.073844
CH4,Blount 1982,372.790000,99.640000,492.000000,2.037900,3.334800,2.686350,1.296900,0.003012,0.002697,0.036991
CH4,Blount 1982,372.900000,99.750000,498.000000,2.037900,4.944300,3.491100,2.906400,0.003012,0.001915,0.067673
CH4,Blount 1982,373.790000,100.640000,495.000000,2.037900,7.087700,4.562800,5.049800,0.003012,0.001602,0.054298
CH4,Blount 1982,373.095000,99.945000,492.500000,2.037900,3.361500,2.699700,1.323600,0.002866,0.002405,0.057541
CH4,Blount 1982,372.790000,99.640000,489.000000,2.037900,3.334800,2.686350,1.296900,0.002866,0.002697,0.020353
CH4,Blount 1982,372.900000,99.750000,495.000000,2.037900,4.944300,3.491100,2.906400,0.002866,0.001915,0.060249
CH4,Blount 1982,373.790000,100.640000,492.000000,2.037900,7.087700,4.562800,5.049800,0.002866,0.001602,0.050024
CH4,Blount 1982,373.120000,99.970000,351.000000,1.984700,3.334800,2.659750,1.350100,0.002655,0.002262,0.051531
CH4,Blount 1982,372.870000,99.720000,352.000000,1.984700,4.944300,3.464500,2.959600,0.002655,0.002016,0.040402
CH4,Blount 1982,372.760000,99.610000,363.000000,1.984700,4.905000,3.444850,2.920300,0.002655,0.001678,0.068237
CH4,Blount 1982,373.760000,100.610000,356.500000,1.984700,7.087700,4.536200,5.103000,0.002655,0.001418,0.053378
CH4,Blount 1982,373.120000,99.970000,349.500000,2.005900,3.334800,2.670350,1.328900,0.002308,0.002262,0.006579
CH4,Blount 1982,372.870000,99.720000,350.500000,2.005900,4.944300,3.475100,2.938400,0.002308,0.002016,0.019992
CH4,Blount 1982,372.760000,99.610000,361.500000,2.005900,4.905000,3.455450,2.899100,0.002308,0.001678,0.047754
CH4,Blount 1982,373.760000,100.610000,355.000000,2.005900,7.087700,4.546800,5.081800,0.002308,0.001418,0.041631
CH4,Blount 1982,373.010000,99.860000,250.500000,2.005900,4.905000,3.455450,2.899100,0.002002,0.001359,0.058033
CH4,Blount 1982,374.010000,100.860000,251.500000,2.005900,7.087700,4.546800,5.081800,0.002002,0.001087,0.052193
CH4,Blount 1982,372.760000,99.610000,251.500000,2.005900,4.905000,3.455450,2.899100,0.002089,0.001359,0.064406
CH4,Blount 1982,373.760000,100.610000,252.500000,2.005900,7.087700,4.546800,5.081800,0.002089,0.001087,0.055828
CH4,Blount 1982,372.870000,99.720000,249.500000,2.005900,4.905000,3.455450,2.899100,0.001958,0.001359,0.054704
CH4,Blount 1982,373.870000,100.720000,250.500000,2.005900,7.087700,4.546800,5.081800,0.001958,0.001087,0.050294
CH4,Blount 1982,372.900000,99.750000,139.000000,2.005900,3.334800,2.670350,1.328900,0.001418,0.001343,0.017759
CH4,Blount 1982,372.650000,99.500000,144.000000,2.005900,4.905000,3.455450,2.899100,0.001418,0.001091,0.039271
CH4,Blount 1982,373.540000,100.390000,141.500000,2.005900,7.087700,4.546800,5.081800,0.001418,0.000940,0.035135
CH4,Blount 1982,372.870000,99.720000,1527.500000,3.402900,5.014900,4.208900,1.612000,0.004185,0.003014,0.088432
CH4,Blount 1982,373.400000,100.250000,1519.000000,3.402900,7.050500,5.226700,3.647600,0.004185,0.002278,0.072415
CH4,Blount 1982,372.760000,99.610000,1536.500000,3.402900,5.014900,4.208900,1.612000,0.004263,0.003014,0.093407
CH4,Blount 1982,373.290000,100.140000,1528.000000,3.402900,7.050500,5.226700,3.647600,0.004263,0.002278,0.074614
CH4,Blount 1982,373.150000,100.000000,1313.000000,3.402900,7.050500,5.226700,3.647600,0.003828,0.002516,0.049967
CH4,Blount 1982,372.370000,99.220000,1092.000000,3.402900,5.014900,4.208900,1.612000,0.003610,0.003098,0.041207
CH4,Blount 1982,373.010000,99.860000,1108.500000,3.402900,7.050500,5.226700,3.647600,0.003610,0.001911,0.075734
CH4,Blount 1982,372.620000,99.470000,917.000000,3.402900,5.014900,4.208900,1.612000,0.003174,0.002476,0.066908
CH4,Blount 1982,373.260000,100.110000,909.500000,3.402900,7.050500,5.226700,3.647600,0.003174,0.002040,0.052631
CH4,Blount 1982,373.620000,100.470000,913.000000,3.402900,7.087700,5.245300,3.684800,0.003174,0.001969,0.056275
CH4,Blount 1982,372.620000,99.470000,913.000000,3.334800,5.014900,4.174850,1.680100,0.003520,0.002476,0.090942
CH4,Blount 1982,373.260000,100.110000,905.500000,3.334800,7.050500,5.192650,3.715700,0.003520,0.002040,0.063760
CH4,Blount 1982,373.620000,100.470000,909.000000,3.334800,7.087700,5.211250,3.752900,0.003520,0.001969,0.067227
