Gas,Source,T_K,T_C,P_bar,Sal_m,x_fresh,x_brine,T_fresh,P_fresh,dT_K,dP_pct,ks_data
CO2,Prutton & Savage 1945,374.150000,101.000000,626.188500,1.012318,0.028200,0.018600,374.150000,623.148750,0.000000,0.485437,0.178537
CO2,Prutton & Savage 1945,374.150000,101.000000,582.618750,1.012318,0.028200,0.018500,374.150000,623.148750,0.000000,6.956522,0.180850
CO2,Prutton & Savage 1945,374.150000,101.000000,506.625000,1.012318,0.026600,0.017400,374.150000,524.863500,0.000000,3.600000,0.182089
CO2,Prutton & Savage 1945,374.150000,101.000000,356.664000,1.012318,0.023100,0.015900,374.150000,329.306250,0.000000,7.670455,0.160241
CO2,Prutton & Savage 1945,374.150000,101.000000,351.597750,1.012318,0.023100,0.016200,374.150000,329.306250,0.000000,6.340058,0.152222
CO2,Prutton & Savage 1945,374.150000,101.000000,289.789500,1.012318,0.022300,0.015200,374.150000,286.749750,0.000000,1.048951,0.164436
CO2,Prutton & Savage 1945,374.150000,101.000000,289.789500,1.012318,0.022300,0.014700,374.150000,286.749750,0.000000,1.048951,0.178785
CO2,Prutton & Savage 1945,374.150000,101.000000,215.822250,1.012318,0.022100,0.014000,374.150000,202.650000,0.000000,6.103286,0.195852
CO2,Prutton & Savage 1945,374.150000,101.000000,215.822250,1.012318,0.022100,0.013500,374.150000,202.650000,0.000000,6.103286,0.211454
CO2,Prutton & Savage 1945,374.150000,101.000000,121.590000,1.012318,0.015300,0.011300,374.150000,110.444250,0.000000,9.166667,0.130012
CO2,Prutton & Savage 1945,374.150000,101.000000,121.590000,1.012318,0.015300,0.011200,374.150000,110.444250,0.000000,9.166667,0.133825
CO2,Prutton & Savage 1945,374.150000,101.000000,56.742000,1.012318,0.010800,0.008100,374.150000,57.755250,0.000000,1.785714,0.123418
CO2,Prutton & Savage 1945,374.150000,101.000000,656.586000,2.280887,0.028200,0.012300,374.150000,623.148750,0.000000,5.092593,0.157984
CO2,Prutton & Savage 1945,374.150000,101.000000,581.605500,2.280887,0.028200,0.011800,374.150000,623.148750,0.000000,7.142857,0.165886
