Source,Gas,T_K,P_bar,Sal_m,y_H2O,x_Gas,Notes
# ============================================================
# Reamer Olds Sage Lacey 1943 - Ethane-Water Dew-Point Gas
# DOI: 10.1021/ie50403a004
# Table II smoothed values. y_H2O only (no x_C2H6 in water measured)
# ============================================================
Reamer1943,C2H6,310.93,13.79,0,0.005007,,100F 200psia
Reamer1943,C2H6,310.93,27.58,0,0.002641,,100F 400psia
Reamer1943,C2H6,310.93,41.37,0,0.001859,,100F 600psia
Reamer1943,C2H6,310.93,55.16,0,0.001474,,100F 800psia
Reamer1943,C2H6,310.93,68.95,0,0.001244,,100F 1000psia
Reamer1943,C2H6,310.93,137.90,0,0.000812,,100F 2000psia
Reamer1943,C2H6,310.93,241.32,0,0.000734,,100F 3500psia
Reamer1943,C2H6,310.93,344.74,0,0.000620,,100F 5000psia
Reamer1943,C2H6,310.93,689.48,0,0.000629,,100F 10000psia
Reamer1943,C2H6,344.26,13.79,0,0.02449,,160F 200psia
Reamer1943,C2H6,344.26,27.58,0,0.01269,,160F 400psia
Reamer1943,C2H6,344.26,55.16,0,0.006833,,160F 800psia
Reamer1943,C2H6,344.26,68.95,0,0.005675,,160F 1000psia
Reamer1943,C2H6,344.26,137.90,0,0.003409,,160F 2000psia
Reamer1943,C2H6,344.26,344.74,0,0.002218,,160F 5000psia
Reamer1943,C2H6,344.26,689.48,0,0.001952,,160F 10000psia
Reamer1943,C2H6,377.59,13.79,0,0.08782,,220F 200psia
Reamer1943,C2H6,377.59,27.58,0,0.04507,,220F 400psia
Reamer1943,C2H6,377.59,55.16,0,0.02372,,220F 800psia
Reamer1943,C2H6,377.59,68.95,0,0.01951,,220F 1000psia
Reamer1943,C2H6,377.59,137.90,0,0.01121,,220F 2000psia
Reamer1943,C2H6,377.59,344.74,0,0.006603,,220F 5000psia
Reamer1943,C2H6,377.59,689.48,0,0.005207,,220F 10000psia
Reamer1943,C2H6,410.93,27.58,0,0.1279,,280F 400psia
Reamer1943,C2H6,410.93,55.16,0,0.06661,,280F 800psia
Reamer1943,C2H6,410.93,68.95,0,0.05447,,280F 1000psia
Reamer1943,C2H6,410.93,137.90,0,0.03051,,280F 2000psia
Reamer1943,C2H6,410.93,344.74,0,0.01701,,280F 5000psia
Reamer1943,C2H6,410.93,689.48,0,0.01274,,280F 10000psia
Reamer1943,C2H6,444.26,68.95,0,0.1291,,340F 1000psia
Reamer1943,C2H6,444.26,137.90,0,0.07169,,340F 2000psia
Reamer1943,C2H6,444.26,344.74,0,0.03906,,340F 5000psia
