Gas,Source,T_K,T_C,P_Pa,P_bar,x_gas_exp,y_H2O_exp,kij_AQ,kij_AQ_conv,kij_NA,kij_NA_conv
CH4,Culberson 1951,298.15,25.00,2351000,23.51,4.970000e-04,,-0.283883,True,,False
CH4,Culberson 1951,298.15,25.00,3165000,31.65,7.170000e-04,,-0.292660,True,,False
CH4,Culberson 1951,298.15,25.00,4544000,45.44,1.000000e-03,,-0.293979,True,,False
CH4,Culberson 1951,298.15,25.00,6440000,64.40,1.317000e-03,,-0.292617,True,,False
CH4,Culberson 1951,298.15,25.00,8894000,88.94,1.678000e-03,,-0.291964,True,,False
CH4,Culberson 1951,298.15,25.00,13307000,133.07,2.235000e-03,,-0.292620,True,,False
CH4,Culberson 1951,298.15,25.00,17202000,172.02,2.585000e-03,,-0.291444,True,,False
CH4,Culberson 1951,298.15,25.00,24235000,242.35,3.110000e-03,,-0.290896,True,,False
CH4,Culberson 1951,298.15,25.00,33163000,331.63,3.660000e-03,,-0.291166,True,,False
CH4,Culberson 1951,298.15,25.00,44402000,444.02,4.170000e-03,,-0.290272,True,,False
CH4,Culberson 1951,298.15,25.00,53744000,537.44,4.370000e-03,,-0.286567,True,,False
CH4,Culberson 1951,298.15,25.00,64120000,641.20,4.450000e-03,,-0.281109,True,,False
CH4,Culberson 1951,310.93,37.78,2275000,22.75,4.400000e-04,,-0.255626,True,,False
CH4,Culberson 1951,310.93,37.78,3289000,32.89,6.190000e-04,,-0.255829,True,,False
CH4,Culberson 1951,310.93,37.78,4578000,45.78,8.390000e-04,,-0.256840,True,,False
CH4,Culberson 1951,310.93,37.78,6550000,65.50,1.123000e-03,,-0.255712,True,,False
CH4,Culberson 1951,310.93,37.78,8756000,87.56,1.440000e-03,,-0.257496,True,,False
CH4,Culberson 1951,310.93,37.78,13100000,131.00,1.890000e-03,,-0.255519,True,,False
CH4,Culberson 1951,310.93,37.78,17754000,177.54,2.290000e-03,,-0.255018,True,,False
CH4,Culberson 1951,310.93,37.78,24373000,243.73,2.760000e-03,,-0.255107,True,,False
CH4,Culberson 1951,310.93,37.78,33853000,338.53,3.330000e-03,,-0.256228,True,,False
CH4,Culberson 1951,310.93,37.78,44988000,449.88,3.910000e-03,,-0.257919,True,,False
CH4,Culberson 1951,310.93,37.78,54261000,542.61,4.170000e-03,,-0.255460,True,,False
CH4,Culberson 1951,310.93,37.78,68223000,682.23,4.650000e-03,,-0.255647,True,,False
CH4,Culberson 1951,344.26,71.11,2282000,22.82,3.400000e-04,,-0.165795,True,,False
CH4,Culberson 1951,344.26,71.11,3220000,32.20,4.700000e-04,,-0.165928,True,,False
CH4,Culberson 1951,344.26,71.11,4544000,45.44,6.320000e-04,,-0.163795,True,,False
CH4,Culberson 1951,344.26,71.11,6502000,65.02,9.090000e-04,,-0.169520,True,,False
CH4,Culberson 1951,344.26,71.11,9101000,91.01,1.183000e-03,,-0.167526,True,,False
CH4,Culberson 1951,344.26,71.11,12962000,129.62,1.500000e-03,,-0.163121,True,,False
CH4,Culberson 1951,344.26,71.11,17616000,176.16,1.924000e-03,,-0.166489,True,,False
CH4,Culberson 1951,344.26,71.11,24373000,243.73,2.385000e-03,,-0.166690,True,,False
CH4,Culberson 1951,344.26,71.11,33956000,339.56,2.770000e-03,,-0.161149,True,,False
CH4,Culberson 1951,344.26,71.11,44988000,449.88,3.420000e-03,,-0.167477,True,,False
CH4,Culberson 1951,344.26,71.11,56674000,566.74,3.750000e-03,,-0.164367,True,,False
CH4,Culberson 1951,344.26,71.11,68016000,680.16,4.240000e-03,,-0.168040,True,,False
CH4,Culberson 1951,377.59,104.44,2296000,22.96,3.230000e-04,,-0.080433,True,,False
CH4,Culberson 1951,377.59,104.44,3213000,32.13,4.320000e-04,,-0.076549,True,,False
CH4,Culberson 1951,377.59,104.44,3227000,32.27,4.720000e-04,,-0.088322,True,,False
CH4,Culberson 1951,377.59,104.44,4495000,44.95,6.110000e-04,,-0.081414,True,,False
CH4,Culberson 1951,377.59,104.44,6515000,65.15,8.860000e-04,,-0.086600,True,,False
CH4,Culberson 1951,377.59,104.44,9032000,90.32,1.188000e-03,,-0.088124,True,,False
CH4,Culberson 1951,377.59,104.44,13100000,131.00,1.560000e-03,,-0.083822,True,,False
CH4,Culberson 1951,377.59,104.44,17478000,174.78,1.980000e-03,,-0.086337,True,,False
CH4,Culberson 1951,377.59,104.44,24614000,246.14,2.510000e-03,,-0.085704,True,,False
CH4,Culberson 1951,377.59,104.44,34232000,342.32,3.140000e-03,,-0.087220,True,,False
CH4,Culberson 1951,377.59,104.44,44988000,449.88,3.610000e-03,,-0.084258,True,,False
CH4,Culberson 1951,377.59,104.44,56467000,564.67,4.080000e-03,,-0.083920,True,,False
CH4,Culberson 1951,377.59,104.44,68085000,680.85,4.510000e-03,,-0.084395,True,,False
CH4,Culberson 1951,410.93,137.78,2317000,23.17,3.260000e-04,,0.015310,True,,False
CH4,Culberson 1951,410.93,137.78,3199000,31.99,4.600000e-04,,0.009395,True,,False
CH4,Culberson 1951,410.93,137.78,4509000,45.09,6.730000e-04,,-0.000114,True,,False
CH4,Culberson 1951,410.93,137.78,6488000,64.88,9.380000e-04,,0.000074,True,,False
CH4,Culberson 1951,410.93,137.78,9032000,90.32,1.326000e-03,,-0.008624,True,,False
CH4,Culberson 1951,410.93,137.78,13100000,131.00,1.857000e-03,,-0.012348,True,,False
CH4,Culberson 1951,410.93,137.78,17099000,170.99,2.346000e-03,,-0.015733,True,,False
CH4,Culberson 1951,410.93,137.78,24510000,245.10,3.015000e-03,,-0.012964,True,,False
CH4,Culberson 1951,410.93,137.78,34301000,343.01,3.805000e-03,,-0.013581,True,,False
CH4,Culberson 1951,410.93,137.78,44988000,449.88,4.490000e-03,,-0.013075,True,,False
CH4,Culberson 1951,410.93,137.78,57019000,570.19,5.180000e-03,,-0.014177,True,,False
CH4,Culberson 1951,410.93,137.78,67809000,678.09,5.740000e-03,,-0.015747,True,,False
CH4,Culberson 1951,444.26,171.11,2227000,22.27,3.230000e-04,,0.127976,True,,False
CH4,Culberson 1951,444.26,171.11,3275000,32.75,5.350000e-04,,0.102164,True,,False
CH4,Culberson 1951,444.26,171.11,4564000,45.64,7.890000e-04,,0.087830,True,,False
CH4,Culberson 1951,444.26,171.11,6543000,65.43,1.150000e-03,,0.079505,True,,False
CH4,Culberson 1951,444.26,171.11,9377000,93.77,1.725000e-03,,0.063777,True,,False
CH4,Culberson 1951,444.26,171.11,13238000,132.38,2.355000e-03,,0.060966,True,,False
CH4,Culberson 1951,444.26,171.11,17788000,177.88,3.025000e-03,,0.059254,True,,False
CH4,Culberson 1951,444.26,171.11,24683000,246.83,3.835000e-03,,0.061736,True,,False
CH4,Culberson 1951,444.26,171.11,34784000,347.84,4.875000e-03,,0.061881,True,,False
CH4,Culberson 1951,444.26,171.11,44988000,449.88,5.950000e-03,,0.055700,True,,False
CH4,Culberson 1951,444.26,171.11,56605000,566.05,6.800000e-03,,0.055946,True,,False
