Gas,Source,T_K,T_C,P_Pa,P_bar,x_gas_exp,y_H2O_exp,kij_AQ,kij_AQ_conv,kij_NA,kij_NA_conv
C2H6,Culberson 1950,310.93,37.78,410000,4.10,8.930000e-05,,-0.145702,True,,False
C2H6,Culberson 1950,310.93,37.78,760000,7.60,2.040000e-04,,-0.159375,True,,False
C2H6,Culberson 1950,310.93,37.78,1380000,13.80,3.110000e-04,,-0.152591,True,,False
C2H6,Culberson 1950,310.93,37.78,2340000,23.40,5.210000e-04,,-0.156978,True,,False
C2H6,Culberson 1950,310.93,37.78,3920000,39.20,6.470000e-04,,-0.149090,True,,False
C2H6,Culberson 1950,310.93,37.78,5290000,52.90,7.090000e-04,,-0.146400,True,,False
C2H6,Culberson 1950,310.93,37.78,7450000,74.50,8.010000e-04,,-0.150079,True,,False
C2H6,Culberson 1950,310.93,37.78,13270000,132.70,8.210000e-04,,-0.146876,True,,False
C2H6,Culberson 1950,310.93,37.78,21480000,214.80,8.900000e-04,,-0.147105,True,,False
C2H6,Culberson 1950,310.93,37.78,34720000,347.20,1.018000e-03,,-0.149796,True,,False
C2H6,Culberson 1950,310.93,37.78,39990000,399.90,1.066000e-03,,-0.150857,True,,False
C2H6,Culberson 1950,310.93,37.78,43640000,436.40,1.105000e-03,,-0.151909,True,,False
C2H6,Culberson 1950,310.93,37.78,52430000,524.30,1.060000e-03,,-0.147606,True,,False
C2H6,Culberson 1950,310.93,37.78,65190000,651.90,1.130000e-03,,-0.148759,True,,False
C2H6,Culberson 1950,344.26,71.11,780000,7.80,8.120000e-05,,-0.054865,True,,False
C2H6,Culberson 1950,344.26,71.11,1350000,13.50,1.540000e-04,,-0.063838,True,,False
C2H6,Culberson 1950,344.26,71.11,2170000,21.70,3.090000e-04,,-0.082839,True,,False
C2H6,Culberson 1950,344.26,71.11,3530000,35.30,4.170000e-04,,-0.076933,True,,False
C2H6,Culberson 1950,344.26,71.11,5410000,54.10,5.700000e-04,,-0.078833,True,,False
C2H6,Culberson 1950,344.26,71.11,8380000,83.80,6.790000e-04,,-0.076932,True,,False
C2H6,Culberson 1950,344.26,71.11,13690000,136.90,7.880000e-04,,-0.077953,True,,False
